rname,usgs,ec,nws,ratio,depth,width,max_dist,idir,isign,uv,row_py,col_py
clowhom,,08GB013,,32.3873,10.0,2,0.2,0,-1,u,192,70
squamish,,08GA022,,2.3449,5.0,2,0.2,0,1,u,193,74
fraser,,08MF005,,1.0848,10.0,5,1.0,0,-1,u,174,95
tsolum,,08HB011,,2.986,5.0,2,0.03,0,-1,u,190,49
oyster,,08HD011,,2.986,5.0,2,0.02,0,1,u,195,33
englishman,,08HB002,,4.93,5.0,2,0.04,1,1,v,178,53
cowichan,,08HA011,,2.0531,5.0,2,0.04,0,1,u,164,63
nanaimo,,08HB034,,2.0531,5.0,2,0.05,0,1,u,172,60
nooksack,12213100.0,,NKSW1,0.954,5.0,2,0.1,0,-1,u,165,87
samish,12201500.0,,SMRW1,1.8864,5.0,2,0.1,0,-1,u,156,91
sanjuan,,08HA010,,6.237,5.0,2,0.06,0,-1,u,158,53
sarita,,08HB014,,1.0,5.0,2,0.04,0,-1,u,167,40
gold,,08HC001,,1.0,5.0,2,0.08,0,-1,u,190,17
hoko,12043300.0,,,2.7032,5.0,2,0.02,0,1,u,148,50
elwha,12045500.0,,ELWW1,1.09,5.0,2,0.03,1,1,v,142,67
dungeness,12048000.0,,,1.1686,5.0,2,0.02,0,-1,u,142,76
dosewallips,12054000.0,,,1.4294,5.0,2,0.1,0,1,u,133,79
duckabush,12054000.0,,,1.1404,5.0,2,0.1,0,1,u,132,78
hamma,12061500.0,,,0.4459,5.0,2,0.1,0,1,u,129,76
skokomish,12061500.0,,SRPW1,1.081,5.0,2,0.1,0,-1,u,122,76
deschutes,12080010.0,,,1.0384,5.0,2,0.1,0,-1,u,113,81
nisqually,12089500.0,,MKNW1,1.223,5.0,2,0.1,0,-1,u,113,87
puyallup,12101500.0,,PUYW1,1.0444,5.0,2,0.2,0,-1,u,119,94
green,12113000.0,,AUBW1,1.1936,5.0,2,0.2,0,-1,u,127,94
cedar,12119000.0,,RNTW1,2.5766,5.0,2,0.2,0,-1,u,132,94
snohomish,12150800.0,,MROW1,1.0894,5.0,2,0.3,0,-1,u,139,96
stillaguamish,12167000.0,,ARGW1,2.4598,5.0,2,0.3,0,-1,u,147,94
skagit,12200500.0,,MVEW1,1.0096,5.0,2,0.4,0,-1,u,155,93
calawah,12043000.0,,,4.8605,5.0,2,0.15,0,-1,u,141,52
hoh,12041200.0,,,1.1779,5.0,2,0.15,0,-1,u,136,54
queets,12040500.0,,,1.0135,5.0,2,0.2,0,-1,u,129,54
quinault,12039500.0,,,1.6477,5.0,2,0.15,0,-1,u,126,61
humptulips,12039005.0,,,1.8712,5.0,2,0.1,0,-1,u,120,59
chehalis,12031000.0,,CRPW1,1.6383,5.0,2,0.45,0,-1,u,108,75
willapa,12013500.0,,WILW1,1.9846,5.0,2,0.4,0,-1,u,101,67
naselle,12010000.0,,NASW1,2.5365,5.0,2,0.3,0,-1,u,96,64
columbia,14246900.0,,,1.0062,12.0,6,2.0,0,-1,u,73,97
nehalem,14301000.0,,,1.2774,5.0,2,0.15,0,-1,u,76,64
wilson,12076800.0,,,0.0594,5.0,2,0.1,0,-1,u,70,65
nestucca,14303600.0,,,1.4167,5.0,2,0.1,0,-1,u,64,62
siletz,14305500.0,,,1.505,5.0,2,0.1,0,-1,u,48,61
alsea,14306500.0,,,1.4102,5.0,2,0.12,0,-1,u,39,62
siuslaw,14307620.0,,,1.3163,5.0,2,0.15,0,-1,u,30,62
umpqua,14321000.0,,,1.268,5.0,2,0.3,1,1,v,15,69
coquille,14325000.0,,,6.2722,5.0,2,0.15,0,-1,u,1,56
